,,Steve,Pyra/Mythra,Joker,R.O.B.,Sonic,Roy,Kazuya,Wolf,Palutena,Fox,PAC-MAN,Pikachu,Cloud,Peach/Daisy,Mr. Game & Watch,Snake,Shulk,Min Min,Pokémon Trainer,Diddy Kong,Lucina,Wario,Samus/Dark Samus,Mario,Young Link,Zero Suit Samus,Sephiroth,Yoshi,Terry,Olimar,Greninja,Byleth,Mii Brawler,Sora,Ness,Ryu,Sheik,Falco,Mega Man,Ken,Inkling,Bayonetta,Captain Falcon,Luigi,Chrom,Corrin,Rosalina & Luma,Hero,Link,Bowser,Pichu,Wii Fit Trainer,Lucas,Toon Link,Incineroar,Ice Climbers,Marth,Meta Knight,Jigglypuff,Pit,Dark Pit,Robin,Mewtwo,Ridley,Ike,Simon/Richter,Mii Gunner,Duck Hunt,Donkey Kong,Villager,Bowser Jr.,Banjo & Kazooie,Dr. Mario,Lucario,Isabelle,Kirby,King K. Rool,Zelda,Piranha Plant,Mii Swordfighter,King Dedede,Little Mac,Ganondorf,Squirtle,Ivysaur,Charizard,Pyra,Mythra,Best Matchup,,Worst Matchup,
Ike,,-0.1,-1.3,-1.3,-1.3,-0.8,-1.7,-0.5,-0.7,-1.4,-0.8,-0.4,-0.6,-0.5,-0.2,0.6,-0.3,-0.7,-1.0,-0.9,-1.0,-0.4,0.0,-0.8,-0.6,-0.5,-0.8,-0.8,0.6,0.1,0.1,-0.6,-0.5,-0.1,-0.3,0.7,-0.5,-1.5,-0.2,-0.3,-0.9,-0.4,-1.4,-1.1,0.1,-0.7,-0.4,0.0,-0.1,-0.7,-0.2,-0.2,0.2,0.3,0.5,0.8,0.3,-0.2,0.3,1.0,-0.3,-0.3,-0.4,0.8,-0.6,-,-0.6,0.3,0.1,0.0,0.6,0.4,0.2,1.1,1.0,1.3,1.8,-0.2,-0.1,0.5,0.3,0.5,1.3,0.3,-1.5,0.5,0.5,1.0,-1.0,,1.80,,-1.71
Simon/Richter,,0.3,-1.7,-1.9,-1.3,-1.6,-1.1,0.6,-0.8,-0.6,-1.6,0.2,-2.3,-0.4,0.2,-0.4,-0.4,-1.5,-1.1,-0.7,-0.2,0.3,-0.8,0.0,-0.6,-0.5,-2.2,-0.8,-1.6,0.1,1.0,-1.7,0.1,-0.6,0.4,0.1,0.7,-1.9,-1.4,-0.9,0.3,-1.6,-1.8,-0.8,1.8,-0.6,0.5,1.8,0.2,0.0,0.1,-1.6,0.5,0.7,0.3,1.5,2.1,0.7,-1.3,-0.6,-0.8,-0.6,0.3,0.3,1.1,0.6,-,0.4,1.4,1.0,-0.4,-0.1,-0.4,1.6,-0.4,-0.2,0.9,0.5,1.1,1.4,0.6,1.7,1.4,1.8,-,-,-,-,-,,2.13,,-2.31
Mii Gunner,,-0.5,-0.7,-0.8,-0.9,-1.1,-0.3,0.0,-0.7,-1.4,-0.5,0.2,-0.5,-0.7,0.2,-1.8,0.4,-0.6,-0.6,0.4,0.5,0.3,-0.3,0.7,-0.8,-0.5,-1.3,-1.4,-0.3,-0.1,-0.9,-1.1,0.0,-0.7,-0.3,0.3,0.7,-0.3,-0.6,-0.6,-0.4,0.6,-0.1,-0.7,1.3,-0.3,0.5,0.5,-1.1,-0.8,0.3,0.3,0.5,-0.5,-0.2,0.9,1.5,1.5,0.0,0.4,-0.5,-0.5,0.0,0.0,1.5,-0.3,-0.4,-,0.1,0.8,-0.4,0.0,-0.5,0.5,0.3,0.3,0.9,1.0,-1.0,0.8,0.3,0.6,0.8,1.6,1.0,1.0,1.0,-,-,,1.56,,-1.78
Duck Hunt,,-0.3,-1.6,-1.5,-0.9,-0.6,-0.6,-0.1,-1.2,-1.2,-0.8,-0.6,-0.7,-1.3,0.3,-0.7,-0.5,-1.2,-0.9,-0.7,1.7,-1.0,-0.2,1.7,0.0,0.0,-0.7,-0.5,0.1,0.1,-0.5,-0.8,0.1,-0.5,0.1,-0.1,0.2,-0.6,-1.0,-1.9,0.5,-0.2,-0.1,-0.7,0.8,-1.1,-0.3,0.5,-1.2,-0.7,1.2,-0.2,0.5,-0.1,0.1,0.9,1.8,-0.4,0.1,0.3,0.0,0.0,0.5,0.4,1.4,-0.1,-1.4,-0.1,-,1.6,0.3,0.7,1.1,0.6,0.1,0.2,0.8,0.7,-0.3,0.8,-1.0,1.7,0.8,1.8,-1.0,-1.0,0.0,1.0,-1.0,,1.80,,-1.92
Donkey Kong,,-1.8,-1.4,-1.2,-1.4,-1.3,-1.1,-1.3,-0.7,-1.7,-1.7,-0.9,-2.3,-0.1,-1.2,-2.1,-1.1,-1.0,-0.8,-1.5,-1.7,-0.9,-1.5,-1.7,-1.3,-1.6,-1.4,-1.4,-1.1,-0.6,-1.1,-1.5,-1.4,-1.1,-1.8,-1.3,-0.8,-1.4,-1.9,-1.8,-1.4,-1.3,-1.7,-1.2,-1.6,-0.6,-0.4,-1.6,0.0,-1.7,-0.7,-1.4,-1.1,-1.3,-1.3,0.0,-0.6,0.6,-1.4,-0.8,-1.1,-1.1,-1.4,0.1,-0.2,0.0,-1.0,-0.8,-1.6,-,-1.3,-1.1,-1.0,0.2,0.4,-1.3,0.0,-0.3,-0.2,-1.1,-0.9,-1.0,0.5,0.8,-,-,-,0.0,-1.0,,0.76,,-2.25
Villager,,-0.4,-1.4,-1.0,-0.4,-1.0,-0.8,-0.6,-1.3,-1.7,-1.0,-0.1,-1.0,-1.4,0.1,-1.5,-0.3,-1.4,-1.7,-0.6,0.6,-1.5,-0.2,0.7,-0.7,-0.4,-0.9,-1.1,-0.3,-0.3,-0.8,-1.3,-0.7,-0.2,-0.3,0.3,0.6,-0.6,-1.4,-0.5,0.7,0.1,-1.4,-0.5,0.6,-0.5,-0.9,-0.7,-1.7,-0.1,0.4,0.0,1.8,0.1,0.1,0.8,1.8,-0.8,-0.3,-0.2,-0.8,-0.8,0.7,-1.4,0.6,-0.6,0.4,0.4,-0.3,1.3,-,1.2,1.2,0.4,0.0,0.2,0.6,1.9,0.3,2.0,-1.5,1.4,0.9,1.9,-0.5,-0.5,1.0,-,-,,1.98,,-1.71
Bowser Jr.,,-1.5,-1.7,-1.3,-0.7,-0.9,-1.1,-0.8,-0.8,-1.6,-0.7,-1.1,-1.4,-1.0,-1.1,-0.8,-0.9,-1.1,-0.4,-1.2,-1.2,-0.8,-0.9,-1.2,-1.0,-1.1,-1.7,-1.2,-0.7,-0.5,-1.4,-1.0,-0.7,-0.8,-0.4,-0.4,-0.6,-1.4,-0.8,-1.4,0.1,-0.4,-1.1,-0.1,-0.3,-0.6,-0.6,-1.1,-0.8,-0.6,0.1,-1.3,-0.5,-0.9,-1.1,0.2,0.8,0.0,-0.1,0.0,-0.6,-0.6,-0.8,-1.3,1.2,-0.4,0.1,0.0,-0.7,1.1,-1.2,-,-0.4,0.6,0.3,-1.4,0.3,1.0,-0.8,0.4,-0.8,1.2,0.5,1.4,-2.0,0.0,0.5,0.0,-1.0,,1.44,,-2.00
Banjo & Kazooie,,-1.1,-0.9,-1.0,-1.3,-1.1,-0.9,-0.8,-1.0,-1.1,-1.3,-0.4,-0.9,-0.5,-0.9,-1.0,-0.2,-0.2,-0.4,-1.1,-0.4,-0.8,-0.9,0.0,-1.1,-0.5,-0.5,-1.0,-0.7,-0.5,-2.1,-1.3,-0.2,-0.6,-0.6,-0.4,-0.3,-0.5,-1.5,-0.4,-0.3,-0.3,-0.9,-0.4,0.0,0.0,-0.2,-0.5,-0.9,-0.4,-0.2,-0.3,-0.3,0.0,-0.2,0.4,1.5,0.0,-0.3,0.4,-0.4,-0.4,-0.4,0.0,1.1,-0.2,0.4,0.5,-1.1,1.0,-1.2,0.4,-,0.7,-0.5,-1.1,0.7,0.4,-0.6,0.9,-0.3,0.4,1.0,1.3,-,-,-,-,-,,1.50,,-2.13
Dr. Mario,,-1.0,-1.5,-1.2,-0.9,-1.7,-1.0,-0.9,-0.6,-1.5,-0.4,-0.6,-0.3,-1.5,-1.1,-1.5,-0.6,-2.1,-1.8,-1.1,0.0,-1.8,-0.7,-1.0,0.0,-0.5,-1.1,-1.4,-0.5,-0.6,-0.8,-0.7,-1.0,-0.3,-0.5,-0.4,-0.9,-0.9,-0.6,-0.9,-0.7,-0.6,-1.1,-0.5,-0.5,-0.9,-0.9,-1.2,-0.6,-0.9,-0.5,0.4,-0.5,-0.5,-0.7,-0.5,-1.1,-0.5,-0.4,-0.7,-0.9,-0.9,-0.6,-1.2,-0.6,-1.1,-1.6,-0.5,-0.6,-0.2,-0.4,-0.6,-0.7,-,0.6,-0.7,-0.1,-0.2,-0.8,0.3,-0.7,0.0,0.1,0.1,-0.5,0.0,1.0,0.5,-2.0,,1.00,,-2.11
Lucario,,-1.2,-1.2,-0.6,-0.7,-0.5,-1.8,-1.8,-1.7,-1.5,-1.2,-0.1,-0.1,-1.0,-0.4,-1.1,-0.9,-1.0,-1.1,-1.1,0.1,-1.1,-1.9,-0.5,-1.1,-0.3,-1.1,-0.9,-0.6,-0.8,-0.8,-0.8,-0.8,-0.3,-0.2,-1.7,-0.8,-0.1,-1.2,0.4,-1.3,0.0,0.3,-0.9,-0.5,-1.4,-0.6,-0.4,-0.8,-0.4,-1.3,-0.1,-1.0,-1.0,-0.3,-0.3,0.3,-0.3,0.0,-0.2,-0.3,-0.3,-0.7,0.0,-0.3,-1.0,0.4,-0.3,-0.1,-0.4,0.0,-0.3,0.5,-0.6,-,0.1,-0.5,-0.5,-0.8,0.0,-0.3,-0.1,-0.1,-0.5,-,-,-,-,-,,0.50,,-1.88
Isabelle,,-1.0,-1.8,-1.0,-0.5,-0.8,-1.5,-1.2,-1.5,-1.6,-1.4,-0.5,-1.8,-1.6,-0.4,-1.7,-0.5,-1.8,-1.3,-1.6,0.3,-1.8,-0.3,0.0,-1.4,-0.9,-1.7,-1.5,-0.7,-0.9,-0.6,-1.5,-1.3,-0.8,-1.0,-0.2,-0.1,-0.9,-1.5,-1.4,-0.2,-0.5,-1.0,-0.9,0.0,-1.2,-1.3,-0.6,-1.4,-0.4,-0.7,-0.9,0.8,-0.2,-0.3,0.7,1.0,-1.7,-0.7,-0.6,-0.8,-0.8,0.1,-0.4,0.7,-1.3,0.2,-0.3,-0.2,1.3,-0.2,1.4,1.1,0.7,-0.1,-,0.0,1.3,0.3,2.0,-1.0,1.5,1.0,1.6,-,-,-,-2.0,-2.0,,2.04,,-2.00
Kirby,,-1.8,-1.1,-0.9,-1.6,-1.5,0.0,0.1,-1.0,-0.2,0.1,-1.1,-0.6,-1.4,-0.8,-1.5,-1.9,-1.9,-0.5,-1.6,-1.1,-1.5,-0.7,-1.9,-0.6,-1.5,-0.8,-0.5,-1.5,0.1,-0.9,-1.5,0.0,-0.2,-0.8,-0.8,-0.4,-0.4,0.4,-0.8,0.9,-1.4,-1.0,0.3,-1.3,-1.3,-1.4,-0.8,-0.8,-0.7,-0.5,0.9,0.2,-0.8,-0.9,-0.1,-0.1,-1.0,-1.0,-0.3,-0.2,-0.2,0.1,-1.0,-0.9,-1.8,-0.9,-0.9,-0.8,0.0,-0.6,-0.3,-0.7,0.1,0.5,0.0,-,0.0,-0.8,0.7,-0.6,-0.2,0.3,0.3,-,-,-,-,-,,0.88,,-1.95
King K. Rool,,-1.9,-1.4,-1.7,-1.9,-1.6,-1.2,-0.9,-0.9,-1.8,-1.7,-1.1,-2.1,-0.2,-1.4,-2.3,-0.8,-1.1,-2.3,-1.3,-1.6,-0.8,-2.0,-1.3,-2.0,-1.4,-1.3,-1.5,-1.0,-0.8,-1.5,-1.6,-0.7,-1.9,-1.9,-1.1,-0.4,-1.9,-1.8,-1.6,-1.2,-0.9,-1.4,-1.7,-1.0,-0.5,-0.4,-1.2,-0.6,-1.5,-0.4,-1.3,-1.1,-1.0,-1.0,0.0,0.1,1.0,-2.3,-1.2,-1.0,-0.9,-1.0,-0.6,0.4,0.2,-0.5,-1.0,-0.7,0.3,-1.9,-1.0,-0.4,0.2,0.5,-1.3,0.0,-,-1.0,-0.1,0.4,-0.2,0.4,0.5,-,-,-,-1.0,-1.0,,1.00,,-2.25
Zelda,,-2.0,-1.3,-1.2,-0.8,-2.0,-0.9,-0.4,-1.4,-0.9,-1.5,0.6,-0.9,-1.7,-1.3,-0.2,-0.1,-1.0,-1.1,-0.9,-1.1,-0.2,-0.7,0.0,-0.2,-0.5,-2.1,-0.2,-0.6,-0.1,1.0,-1.7,-0.2,-0.8,-0.1,0.6,0.0,-1.5,-1.3,-0.9,-0.1,-0.5,-1.6,0.0,0.6,-0.8,-0.8,0.1,-1.1,0.6,-0.1,-0.1,-0.1,0.2,0.2,0.4,1.8,-0.2,-0.3,0.9,-1.3,-1.3,-0.3,0.0,0.1,0.1,-1.1,1.0,0.3,0.2,-0.3,0.8,0.6,0.8,0.8,-0.3,0.8,1.0,-,1.0,0.5,1.5,0.6,1.3,-,-,-,-,-,,1.83,,-2.08
Piranha Plant,,-1.8,-1.7,-1.0,-1.6,-1.4,-0.8,-1.3,-1.1,-1.2,-0.7,-0.6,-1.4,-0.9,-1.1,-1.5,-1.4,-0.4,-1.5,-1.1,-1.2,-1.2,-0.8,-1.7,-1.0,-1.5,-0.8,-1.5,0.1,-0.5,-0.6,-1.5,-0.5,-0.7,-1.0,-0.8,-0.7,-0.6,-1.0,-1.6,-0.1,-0.7,0.1,-0.6,-0.7,-0.3,-0.5,-0.2,-1.0,-0.6,0.7,-0.8,-0.7,-0.9,-0.9,-0.4,1.3,0.1,-0.4,-0.1,-1.1,-1.1,-0.5,-1.5,0.4,-0.5,-1.4,-0.8,-0.8,1.1,-2.0,-0.4,-0.9,-0.3,0.0,-2.0,-0.7,0.1,-1.0,-,-0.5,-0.7,-0.8,0.9,-0.5,-0.5,1.0,-2.0,-2.0,,1.25,,-2.04
Mii Swordfighter,,-0.4,-1.1,-1.5,-0.7,-0.5,-1.4,0.4,-0.5,-1.5,-1.5,0.3,-1.4,-1.1,-0.1,-0.4,-0.8,-1.5,-1.6,-0.8,-1.3,-0.5,-0.8,-0.3,-1.3,-0.5,-1.8,-1.3,-0.3,0.0,0.6,-1.9,-0.8,-0.6,-0.9,-0.1,0.3,-1.1,-1.6,-1.0,-0.4,-1.0,-0.8,0.1,0.4,-1.0,0.0,0.8,-0.9,-0.8,-0.3,-1.3,-0.2,0.0,-0.1,0.5,1.0,0.0,0.0,-0.1,-1.0,-1.0,-0.5,-0.5,1.5,-0.3,-0.6,-0.3,1.0,0.9,1.5,0.8,0.3,0.7,0.3,1.0,0.6,-0.4,-0.5,0.5,-,0.8,0.4,1.4,-,-,-,-,-,,1.50,,-1.90
King Dedede,,-1.8,-1.6,-1.4,-1.5,-1.7,-1.1,-0.8,-0.9,-1.7,-1.3,-0.9,-1.7,-0.8,-0.7,-1.4,-0.3,-0.9,-1.4,-0.8,-1.8,0.2,-1.3,-1.7,-1.1,-1.5,-1.5,-1.4,-1.4,-0.7,-1.3,-1.4,-1.1,-1.2,-1.8,-0.8,0.0,-1.2,-1.7,-1.4,-0.8,-0.4,-1.4,-1.1,-1.2,-0.5,-0.7,-0.8,-0.9,-1.4,0.5,-0.7,-1.2,-0.9,-1.2,0.0,0.7,0.7,-1.3,-0.1,-0.8,-0.8,-1.3,-1.5,0.9,-0.5,-1.7,-0.6,-1.7,1.0,-1.4,-1.2,-0.4,0.0,0.1,-1.5,0.2,0.2,-1.5,0.7,-0.8,-,0.8,1.1,0.0,-1.0,1.3,-,-,,1.25,,-1.83
Little Mac,,-1.7,-1.3,-1.6,-1.6,-1.6,-0.8,-0.8,-0.9,-0.8,-0.6,-2.2,-1.8,-1.2,-1.7,-1.0,-1.0,-1.3,-1.7,-1.6,-1.1,-1.5,-1.1,-1.9,-0.5,-1.5,-1.2,-0.9,-0.8,-0.2,-1.0,-1.3,-0.4,-0.4,-0.3,-1.5,-0.8,-0.8,-0.5,-1.2,0.2,-1.0,-0.8,-1.0,-0.9,-1.1,-0.2,-0.6,0.1,-1.4,-1.2,-0.8,-0.9,-1.5,-1.4,-0.6,0.6,-0.8,-0.6,-0.8,-0.8,-0.9,-0.6,-0.3,-1.4,-1.3,-1.4,-0.8,-0.8,-0.5,-0.9,-0.5,-1.0,-0.1,0.1,-1.0,-0.3,-0.4,-0.6,0.8,-0.4,-0.8,-,0.3,0.0,0.5,0.0,0.0,-0.8,,0.78,,-2.20
Ganondorf,,-1.6,-1.8,-1.7,-1.8,-1.8,-1.0,-1.2,-0.8,-1.7,-1.4,-1.5,-2.5,-1.1,-1.1,-2.3,-2.1,-1.6,-2.0,-2.2,-1.9,-1.7,-1.2,-1.8,-1.3,-1.7,-1.8,-1.7,-1.1,-0.4,-1.7,-1.8,-1.2,-0.6,-1.9,-1.7,-0.4,-1.8,-1.6,-1.7,-1.0,-1.8,-1.6,-1.6,-1.4,-0.8,-1.1,-1.5,-1.2,-1.6,-0.1,-1.6,-1.4,-1.8,-1.6,-0.4,-1.3,-0.6,-2.0,-1.3,-1.5,-1.5,-1.6,-1.6,-0.8,-0.3,-1.8,-1.6,-1.8,-0.8,-1.9,-1.4,-1.3,-0.1,0.5,-1.6,-0.3,-0.5,-1.3,-0.9,-1.4,-1.1,-0.3,-,-3.0,0.0,2.0,0.3,-2.0,,2.00,,-3.00
Squirtle,,0.5,-1.0,1.0,-,-1.5,-,-,-,-,0.4,-,-,2.0,-,-,-,1.0,0.0,-,-,-,-,-2.0,-,-,1.3,0.0,-0.5,-,-,-0.3,-,-,-1.0,0.0,-,-0.3,1.3,-,-,-,-,-,-1.0,2.0,-,-,-,0.0,-,0.0,3.0,-1.0,-,0.8,-,-,-,-0.2,-,-,2.0,-,0.0,1.5,-,-1.0,1.0,-,0.5,2.0,-,0.5,-,-,-,-,-,0.5,-,0.0,0.0,3.0,-,-,-,-,-,,3.00,,-2.00
Ivysaur,,1.1,-1.0,-1.0,-,-1.0,-,-,-,-,-0.4,-,-,-1.0,-,-,-,-1.0,-2.0,-,-,-,-,-2.0,-,-,-1.3,-1.0,-1.0,-,-,-1.3,-,-,1.0,1.0,-,-1.3,-0.5,-,-,-,-,-,0.0,0.0,-,-,-,-1.0,-,-0.3,3.0,1.0,-,0.3,-,-,-,-0.4,-,-,-2.0,-,0.0,-0.5,-,-1.0,1.0,-,0.5,0.0,-,0.0,-,-,-,-,-,0.5,-,1.0,-0.5,0.0,-,-,-,-,-,,3.00,,-2.00
Charizard,,-0.5,-1.0,-1.0,-,-1.0,-,-,-,-,-0.9,-,-,0.0,-,-,-,0.0,-2.0,-,-,-,-,-2.0,-,-,-1.5,-1.0,-0.5,-,-,-1.6,-,-,0.0,0.0,-,0.3,-1.0,-,-,-,-,-,-1.0,0.0,-,-,-,-2.5,-,-1.0,0.0,0.0,-,-0.2,-,-,-,-0.3,-,-,-2.0,-,-1.0,-0.5,-,-1.0,0.0,-,-1.0,-0.5,-,-1.0,-,-,-,-,-,-1.0,-,-1.3,0.0,-2.0,-,-,-,-,-,,0.30,,-2.50
Pyra,,0.3,-,-1.0,1.0,-1.0,0.8,-,-,0.0,-1.0,0.0,-,0.1,-,0.7,0.0,0.0,-1.0,-,0.0,-,-1.0,-2.0,-,3.0,0.8,-0.2,0.5,0.0,-,-0.6,-1.0,0.0,0.0,-,-,-1.0,0.5,-,-,0.0,-,-,-0.5,0.0,0.0,-,-3.0,0.0,1.0,-0.7,2.0,-,-,0.7,-,-,0.0,1.0,1.0,1.0,-1.0,-,0.0,-1.0,-,-,-1.0,0.0,-,0.0,-,-0.5,-,2.0,-,1.0,-,2.0,-,-,0.0,-0.3,-,-,-,-,-,,3.00,,-3.00
Mythra,,1.3,-,0.0,1.0,0.0,0.8,-,-,1.0,0.1,0.0,-,0.5,-,0.7,0.0,1.0,0.0,-,0.0,-,0.0,0.0,-,3.0,1.0,1.5,1.5,0.0,-,0.1,1.0,0.0,1.0,-,-,0.0,0.0,-,-,0.0,-,-,-0.5,1.0,1.0,-,0.0,2.5,1.0,-0.5,3.0,-,-,0.8,-,-,1.0,1.0,1.0,1.0,2.0,-,0.0,1.0,-,-,1.0,1.0,-,1.0,-,2.0,-,2.0,-,1.0,-,2.0,-,-,0.8,2.0,-,-,-,-,-,,3.00,,-0.50
